Date,Site Name,Total Gas Production,Gas Sales
2/1/2021,BARRICADE 11-7,235,235
2/1/2021,BARRICADE 14-01V,114.46,0
2/1/2021,BARRICADE 1496-S26-05V,169.21,169.21
2/1/2021,BARRICADE 1496-S26-16V,211.11,211.11
2/1/2021,BARRICADE 1595-S31 CP,1369.66,0
2/1/2021,BARRICADE 1595-S31-11V,460.76,0
2/1/2021,BARRICADE 1595-S31-16V,968.54,0
2/1/2021,BARRICADE 21-11N1MH,306.45,0
2/1/2021,BARRICADE 22-06 CP,526.83,0
2/1/2021,BARRICADE 22-06-4H,371.53,0
2/1/2021,BARRICADE 22-06-5H,247.41,0
2/1/2021,BARRICADE 23-31 CP,813.83,0
2/1/2021,BARRICADE 23-31-2H,135.77,0
2/1/2021,BARRICADE 23-31-3H,739.86,0
2/1/2021,BARRICADE 24-36 CP,1052,0
2/1/2021,BARRICADE 24-36S1LH,298.59,0
2/1/2021,BARRICADE 24-36S2MH,713.89,0
2/1/2021,BARRICADE 32NE-6D,165.02,165.02
2/1/2021,BARRICADE 34-24V,124,0
2/1/2021,BARRICADE 41-01,102,0
2/1/2021,BARRICADE 41-6 5 CP,1798.06,0
2/1/2021,BARRICADE 41-6S1LH,862.86,0
2/1/2021,BARRICADE 41-6S1MH,742.62,0
2/1/2021,BARRICADE 41SW-6D,165.83,0
2/1/2021,BARRICADE 41SW/32NE TB,,
2/1/2021,BARRICADE UNIT 14-01 CP,670.41,0
2/1/2021,BARRICADE UNIT 14-01H,626.52,0
2/1/2021,BARRICADE UNIT 24-36,137.63,0
2/1/2021,BARRICADE UNIT 33-12,123,123
2/1/2021,BARRICADE UNIT 44-1 SWD INFO ONLY,0,0
2/1/2021,CEPO FEDERAL 20-17,1083.34,0
2/1/2021,CEPO FEDERAL 23-7,153.95,0
2/1/2021,CEPO FEDERAL 3-19ST,0,0
2/1/2021,ENDURANCE 11-21-1V,39,0
2/1/2021,ENDURANCE 1595 S29-18V,343.68,0
2/1/2021,ENDURANCE 1595 S29-29V,149.29,0
2/1/2021,ENDURANCE 1595 S32-13V,174.04,0
2/1/2021,ENDURANCE 1595 S32-19V,180.87,0
2/1/2021,ENDURANCE 1595 S32-21V,161.23,0
2/1/2021,ENDURANCE 1595 S32-25V,235.44,0
2/1/2021,ENDURANCE 1595 S32-26V,565.81,0
2/1/2021,ENDURANCE 1595-S32-29S NW1 CP,1640.83,1510
2/1/2021,ENDURANCE 21-32,10.06,0
2/1/2021,ENDURANCE 41-29S1 CP,875,0
2/1/2021,ENDURANCE 41-29S1LH,236.04,0
2/1/2021,ENDURANCE 41-29S1MH,161.37,0
2/1/2021,ENDURANCE 41-29S1UH,589.98,0
2/1/2021,ENDURANCE 42-10 INJ INFO ONLY,,
2/1/2021,ENDURANCE 42-30-1V,73,0
2/1/2021,ENDURANCE 44-32,193.54,0
2/1/2021,ENDURANCE UNIT 23-5,148.07,0
2/1/2021,ENDURANCE UNIT 42-5,136,136
2/1/2021,ENDURANCE UNIT 44-29,118.29,0
2/1/2021,ENDURANCE/WEST SLOPE 32 CP,200,200
2/1/2021,FTUN 1495 S08-23V,1675.91,0
2/1/2021,FTUN 1495 S08-24V,1116.7,0
2/1/2021,FTUN 1495 S08-SW1 CP,5616.32,0
2/1/2021,FTUN 1495 S17-02V,1419.57,0
2/1/2021,FTUN 1495 S17-03V,1360.51,0
2/1/2021,PM-PB-05V-16V CP,712,712
2/1/2021,POLAR BAR 2,261.35,0
2/1/2021,POWDER MOUNTAIN UNIT 34-26X,52.32,52.32
2/1/2021,WEST SLOPE UNIT 33-32,68.36,0
2/2/2021,BARRICADE 11-7,218,218
2/2/2021,BARRICADE 14-01V,128.92,0
2/2/2021,BARRICADE 1496-S26-05V,166.62,166.62
2/2/2021,BARRICADE 1496-S26-16V,210.12,210.12
2/2/2021,BARRICADE 1595-S31 CP,1356.08,0
2/2/2021,BARRICADE 1595-S31-11V,461.77,0
2/2/2021,BARRICADE 1595-S31-16V,954.75,0
2/2/2021,BARRICADE 21-11N1MH,292.36,0
2/2/2021,BARRICADE 22-06 CP,528.96,0
2/2/2021,BARRICADE 22-06-4H,379.01,0
2/2/2021,BARRICADE 22-06-5H,244.73,0
2/2/2021,BARRICADE 23-31 CP,812.31,0
2/2/2021,BARRICADE 23-31-2H,126.3,0
2/2/2021,BARRICADE 23-31-3H,747.02,0
2/2/2021,BARRICADE 24-36 CP,1068,0
2/2/2021,BARRICADE 24-36S1LH,299.04,0
2/2/2021,BARRICADE 24-36S2MH,714.13,0
2/2/2021,BARRICADE 32NE-6D,162.95,162.95
2/2/2021,BARRICADE 34-24V,123,0
2/2/2021,BARRICADE 41-01,93,0
2/2/2021,BARRICADE 41-6 5 CP,1766.75,0
2/2/2021,BARRICADE 41-6S1LH,828.88,0
2/2/2021,BARRICADE 41-6S1MH,745.27,0
2/2/2021,BARRICADE 41SW-6D,165.33,0
2/2/2021,BARRICADE 41SW/32NE TB,,
2/2/2021,BARRICADE UNIT 14-01 CP,677.19,0
2/2/2021,BARRICADE UNIT 14-01H,621.35,0
2/2/2021,BARRICADE UNIT 24-36,140.13,0
2/2/2021,BARRICADE UNIT 33-12,121,121
2/2/2021,BARRICADE UNIT 44-1 SWD INFO ONLY,0,0
2/2/2021,CEPO FEDERAL 20-17,1091.55,0
2/2/2021,CEPO FEDERAL 23-7,155.56,0
2/2/2021,CEPO FEDERAL 3-19ST,0,0
2/2/2021,ENDURANCE 11-21-1V,167,0
2/2/2021,ENDURANCE 1595 S29-18V,345.81,0
2/2/2021,ENDURANCE 1595 S29-29V,149.6,0
2/2/2021,ENDURANCE 1595 S32-13V,192.3,0
2/2/2021,ENDURANCE 1595 S32-19V,181.99,0
2/2/2021,ENDURANCE 1595 S32-21V,102.13,0
2/2/2021,ENDURANCE 1595 S32-25V,236.9,0
2/2/2021,ENDURANCE 1595 S32-26V,570.49,0
2/2/2021,ENDURANCE 1595-S32-29S NW1 CP,1570.99,1432
2/2/2021,ENDURANCE 21-32,12.04,0
2/2/2021,ENDURANCE 41-29S1 CP,875.02,0
2/2/2021,ENDURANCE 41-29S1LH,233.68,0
2/2/2021,ENDURANCE 41-29S1MH,158,0
2/2/2021,ENDURANCE 41-29S1UH,592.69,0
2/2/2021,ENDURANCE 42-10 INJ INFO ONLY,,
2/2/2021,ENDURANCE 42-30-1V,56,0
2/2/2021,ENDURANCE 44-32,201.55,0
2/2/2021,ENDURANCE UNIT 23-5,147.14,0
2/2/2021,ENDURANCE UNIT 42-5,150,150
2/2/2021,ENDURANCE UNIT 44-29,82.74,0
2/2/2021,ENDURANCE/WEST SLOPE 32 CP,197,197
2/2/2021,FTUN 1495 S08-23V,1684.95,0
2/2/2021,FTUN 1495 S08-24V,1111.31,0
2/2/2021,FTUN 1495 S08-SW1 CP,5646.29,0
2/2/2021,FTUN 1495 S17-02V,1411.33,0
2/2/2021,FTUN 1495 S17-03V,1352.58,0
2/2/2021,PM-PB-05V-16V CP,710,710
2/2/2021,POLAR BAR 2,261.59,0
2/2/2021,POWDER MOUNTAIN UNIT 34-26X,46.59,46.59
2/2/2021,WEST SLOPE UNIT 33-32,77.28,0
2/3/2021,BARRICADE 11-7,221,221
2/3/2021,BARRICADE 14-01V,125.43,0
2/3/2021,BARRICADE 1496-S26-05V,173.22,173.22
2/3/2021,BARRICADE 1496-S26-16V,209.22,209.22
2/3/2021,BARRICADE 1595-S31 CP,1359.11,0
2/3/2021,BARRICADE 1595-S31-11V,464.66,0
2/3/2021,BARRICADE 1595-S31-16V,954.3,0
2/3/2021,BARRICADE 21-11N1MH,258.04,0
2/3/2021,BARRICADE 22-06 CP,531.83,0
2/3/2021,BARRICADE 22-06-4H,383.62,0
2/3/2021,BARRICADE 22-06-5H,242.78,0
2/3/2021,BARRICADE 23-31 CP,800.96,0
2/3/2021,BARRICADE 23-31-2H,102.44,0
2/3/2021,BARRICADE 23-31-3H,752.97,0
2/3/2021,BARRICADE 24-36 CP,1047,0
2/3/2021,BARRICADE 24-36S1LH,296.3,0
2/3/2021,BARRICADE 24-36S2MH,710.06,0
2/3/2021,BARRICADE 32NE-6D,169.9,169.9
2/3/2021,BARRICADE 34-24V,122,0
2/3/2021,BARRICADE 41-01,82,0
2/3/2021,BARRICADE 41-6 5 CP,1741.02,0
2/3/2021,BARRICADE 41-6S1LH,807.94,0
2/3/2021,BARRICADE 41-6S1MH,733.96,0
2/3/2021,BARRICADE 41SW-6D,162.96,0
2/3/2021,BARRICADE 41SW/32NE TB,,
