Period: 02/2021,,Beg. Oil,Gross Oil,Total Oil,Other Oil,End Oil,,Gross Gas,Total Gas,Gas Used,Gas,Gas Plant,,Water
Site Name & Number,Days,Balance,Production,Sales,Usage,Balance,Avg,Production,Sales,On Lease,Flared,Inlet Volume,Avg,Production
,On,(Bbls),(Bbls),(Bbls),(Bbls),(Bbls),Grav,(Mcf),(Mcf),(Mcf),(Mcf),(Mcf),BTU,(Bbls)
WY Production,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CEPO Field,,,,,,,,,,,,,,
CEPO FEDERAL 20-17,28,269.29,0.00,0.00,0.00,269.29,48.0,26170.40,25866.60,303.80,0.00,0.00,1031,191.66
CEPO FEDERAL 23-7,27,253.58,79.39,251.62,0.00,81.35,51.3,5363.34,4118.37,1244.97,0.00,4118.37,1,113.38
CEPO FEDERAL 3-19ST,1,173.55,0.00,0.00,0.00,173.55,52.8,4.53,0.00,4.53,0.00,0.00,1255,0.00
Field Totals,,696.42,79.39,251.62,0.00,524.19,,31538.27,29984.97,1553.30,0.00,4118.37,,305.04
,,,,,,,,,,,,,,
POLAR BAR Field,,,,,,,,,,,,,,
POLAR BAR 2,28,298.19,179.25,247.62,0.00,229.82,54.1,6471.20,6145.00,326.20,0.00,6145.00,1175,388.92
POWDER MOUNTAIN UNIT 34-26X,28,111.37,22.09,0.00,0.00,133.46,49.2,1080.65,754.45,326.20,0.00,754.45,1175,59.78
Field Totals,,409.56,201.34,247.62,0.00,363.28,,7551.85,6899.45,652.40,0.00,6899.45,,448.70
,,,,,,,,,,,,,,
WILDCAT Field,,,,,,,,,,,,,,
BARRICADE 11-7,28,271.56,54.08,250.27,0.00,75.37,49.7,7214.04,6109.16,1104.88,0.00,6109.16,1,260.98
BARRICADE 14-01V,28,303.48,45.47,0.00,0.00,348.95,53.7,2964.93,2696.17,268.77,0.00,2696.17,1221,19.47
BARRICADE 1496-S26-05V,28,314.13,72.18,251.95,0.00,134.36,52.0,3989.80,3663.60,326.20,0.00,3663.60,1175,88.20
BARRICADE 1496-S26-16V,27,278.09,34.09,0.00,0.00,312.18,50.7,4283.01,3968.46,314.55,0.00,3968.46,1175,429.03
BARRICADE 1595-S31 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,36435.20,34666.72,1768.48,0.00,34666.72,1250,0.00
BARRICADE 1595-S31-11V,28,315.85,245.52,233.97,0.00,327.40,48.0,12469.01,11863.79,605.22,0.00,11863.79,1250,677.78
BARRICADE 1595-S31-16V,28,301.66,605.06,496.07,0.00,410.65,55.9,23966.19,22802.93,1163.26,0.00,22802.93,1250,662.24
BARRICADE 21-11N1MH,28,165.06,59.80,0.00,0.00,224.86,48.5,8169.75,6859.07,1310.68,0.00,6859.07,1193,146.95
BARRICADE 22-06 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,16059.88,13429.00,2630.88,0.00,13429.00,1221,0.00
BARRICADE 22-06-4H,28,306.44,368.46,503.56,0.00,171.34,57.3,10209.20,8536.76,1672.44,0.00,8536.76,1221,147.35
BARRICADE 22-06-5H,28,303.18,48.30,0.00,0.00,351.48,48.0,5850.68,4892.24,958.44,0.00,4892.24,1221,122.22
BARRICADE 23-31 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,23340.04,21648.84,1691.20,0.00,21648.84,1245,0.00
BARRICADE 23-31-2H,28,232.57,164.13,248.04,0.00,148.66,52.7,4004.77,3714.59,290.18,0.00,3714.59,1245,213.95
BARRICADE 23-31-3H,28,353.03,447.66,504.63,0.00,296.06,54.5,19335.27,17934.25,1401.02,0.00,17934.25,1245,147.23
BARRICADE 24-36 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,31146.07,28374.91,2771.16,0.00,28374.91,1194,0.00
BARRICADE 24-36S1LH,28,273.33,28.43,0.00,0.00,301.76,48.0,8204.01,7474.08,729.94,0.00,7474.08,1194,855.82
BARRICADE 24-36S2MH,28,314.68,297.93,253.24,0.00,359.37,50.8,19251.01,17538.19,1712.82,0.00,17538.19,1194,233.53
BARRICADE 32NE-6D,28,262.65,189.82,249.57,0.01,202.89,56.0,2530.30,2428.76,101.55,0.00,2428.76,1213,289.10
BARRICADE 34-24V,28,245.79,17.08,0.00,0.00,262.87,48.0,4770.57,3370.29,1400.28,0.00,3370.29,1121,418.97
BARRICADE 41-01,26,142.04,96.55,0.00,0.00,238.59,51.9,3475.91,2349.85,1126.06,0.00,2349.85,1270,66.66
BARRICADE 41-6 5 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,46020.35,44173.47,1846.88,0.00,44173.47,1213,0.00
BARRICADE 41-6S1LH,28,284.68,73.75,245.58,0.00,112.85,48.0,21366.72,20509.24,857.49,0.00,20509.24,1213,205.70
BARRICADE 41-6S1MH,28,250.47,181.31,256.85,0.00,174.93,48.4,18616.37,17869.26,747.11,0.00,17869.26,1213,154.92
BARRICADE 41SW-6D,28,257.55,263.08,245.03,-0.01,275.61,56.0,3506.96,3366.22,140.74,0.00,3366.22,1213,400.68
BARRICADE 41SW/32NE TB,28,525.16,444.31,494.60,0.00,474.87,56.0,0.00,0.00,0.00,0.00,0.00,0,689.78
BARRICADE UNIT 14-01 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,18798.87,17094.79,1704.08,0.00,17094.79,1221,0.00
BARRICADE UNIT 14-01H,28,337.63,337.87,513.40,0.00,162.10,51.1,15833.94,14398.62,1435.31,0.00,14398.62,1221,154.77
BARRICADE UNIT 24-36,28,203.83,2.85,0.00,0.00,206.68,49.5,3691.04,3362.64,328.40,0.00,3362.64,1194,97.21
BARRICADE UNIT 33-12,28,51.76,27.24,0.00,0.00,79.00,48.1,5279.49,4056.45,1223.04,0.00,4056.45,1186,390.02
