MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,1/29/2021,172.6038,,,191.009752
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,1/29/2021,211.9266,,,225.251204
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,1/29/2021,469.667,,,57.14664311
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,1/29/2021,967.8477,,,198.4426792
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,1/29/2021,210.8212,,,236.8785262
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,1/29/2021,415.3311,,,193.7484853
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,1/29/2021,360.8524,,,57.7356629
49037117E,BARCAD_22_06H_5H,Barricade 22-06H 5H,1/29/2021,240.9999,,,57.99889345
49037118E,BARCAD_23_31_CP,Barricade 23-31 Sales,1/29/2021,841.7702,,,198.8966483
49037119E,BARCAD_23_31H_2H,Barricade 23-31H 2H,1/29/2021,161.2706,151.7311896,65.79631257,34.51797093
49037121E,BARCAD_23_31H_3H,Barricade 23-31H 3H,1/29/2021,751.9052,343.1755176,-6.654545082,200.4095495
49037122E,BARCAD_24_36_CP,Barricade 24-36 CP,1/29/2021,,,,
49037124E,BARCAD_24_36_S1LH_1,Barricade 24-36 S1LH 1,1/29/2021,303.0806,,,65.67840429
49037134E,BARCAD_24_36_S2MH_1,Barricade 24-36 S2MH 1,1/29/2021,699.9652,,,67.87221841
49037133E,BARCAD_32_NE_6D,Barricade 32 NE-6D,1/29/2021,163.7055,,,25.63307504
49037145E,BARCAD_41_6_CP,Barricade 41-6 CP,1/29/2021,1803.245,,,197.2732714
49037128E,BARCAD_41_6_LH_2,Barricade 41-6 LH 2,1/29/2021,846.1351,,,31.8813952
49037132E,BARCAD_41_6_MH_2,Barricade 41-6 MH 2,1/29/2021,754.3148,,,29.67871671
49037143E,BARCAD_41_SW_6D,Barricade 41 SW-6D,1/29/2021,165.1304,,,25.53484857
49037097E,BARCAD_S31_1116_CP,Barricade 1595-S31-11V-16V Check,1/29/2021,1378.199,,,196.6389626
49037150E,BARCAD_UNIT_11_7,Barricade Unit 11-7,1/29/2021,,,,
49037151E,BARCAD_UNIT_14_1_CP,Barricade Unit 14-1 CP,1/29/2021,638.8638,,,238.0418746
49037152E,BARCAD_UNIT_14_1H_1,Barricade Unit 14-1H 1,1/29/2021,573.7039,,,88.715895
49037153E,BARCAD_UNIT_14_1V,Barricade Unit 14-1V,1/29/2021,121.4468,,,349.8278502
49037110E,BARCAD_UNIT_24_36,Barricade Unit 24-36,1/29/2021,133.5089,,,73.03794377
49037149E,BARCAD_UNIT_44_1S2M,BARRICADE 44-1 SWD BB,1/29/2021,16.99242,,,119.8128664
49037159E,CEPO_FEDERAL_03_19ST,Cepo Federal  03-19ST,1/29/2021,,,,
49037166E,CEPO_FEDERAL_20_17,Cepo Federal  20-17,1/29/2021,1084.744,,,216.1515964
49037167E:49037168E,CEPO_FEDERAL_23_07_M,Cepo Federal  23-07 M,1/29/2021,151.5116,,,237.5248605
49037193E,ENDUR_41_29_CP,Endurance 41-29 CP,1/29/2021,874.6692,,,195.1166232
