name,user_ref,Site_Name,Product_Name,MeterId
FT UNION LOWER,WY-BU-14-01H/V,BARRICADE UNIT 14-01 CP,GAS,49037053E
FT UNION LOWER,WY-B-21-11N1MH,BARRICADE 21-11N1MH,GAS,49037058E
FT UNION LOWER,WY-B-1496-S26-05V,BARRICADE 1496-S26-05V,GAS,49037065E
FT UNION LOWER,WY-B-1496-S26-16V,BARRICADE 1496-S26-16V,GAS,49037074E
FT UNION LOWER,WY-B-1496-S26-16V,BARRICADE 1496-S26-16V,GAS,49037093E
FT UNION LOWER,WY-BU-24-36,BARRICADE UNIT 24-36,GAS,49037110E
FT UNION LOWER,WY-B-22-06-4H/5H,BARRICADE 22-06 CP,GAS,49037113E
FT UNION LOWER,WY-B-22-06-4H,BARRICADE 22-06-4H,GAS,49037114E
FT UNION LOWER,WY-B-22-06-5H,BARRICADE 22-06-5H,GAS,49037117E
FT UNION LOWER,WY-B-24-36-1LH/2MH,BARRICADE 24-36 CP,GAS,49037122E
FT UNION LOWER,WY-B-24-36S1LH,BARRICADE 24-36S1LH,GAS,49037124E
FT UNION LOWER,W-B-24-36S2MH,BARRICADE 24-36S2MH,GAS,49037134E
FT UNION LOWER,WY-BU-33-12,BARRICADE UNIT 33-12,GAS,49037147E
FT UNION LOWER,WY-BU-14-01H/V,BARRICADE UNIT 14-01 CP,GAS,49037151E
FT UNION LOWER,WY-BU-14-01H,BARRICADE UNIT 14-01H,GAS,49037152E
FT UNION LOWER,WY-B-14-01V,BARRICADE 14-01V,GAS,49037153E
FT UNION LOWER,WY-B-22-06-5H,BARRICADE 22-06-5H,GAS,49037158E
FT UNION LOWER,WY-CF-3-19ST,CEPO FEDERAL 3-19ST,GAS,49037159E
FT UNION LOWER,WY-CF-20-17,CEPO FEDERAL 20-17,GAS,49037166E
FT UNION LOWER,WY-CF-23-7,CEPO FEDERAL 23-7,GAS,49037167E:49037168E
FT UNION LOWER,WY-EU-23-5,ENDURANCE UNIT 23-5,GAS,49037202S
FT UNION LOWER,WY-FTUN-1495-S17-03V/02V/24V/23V,FTUN 1495 S08-SW1 CP,GAS,49037207E
FT UNION LOWER,WY-FTUN-1495-S17-03V/02V/24V/23V,FTUN 1495 S08-SW1 CP,GAS,49037209E
FT UNION LOWER,WY-FTUN-1495-S17-03V/02V/24V/23V,FTUN 1495 S08-SW1 CP,GAS,49037210E
FT UNION LOWER,WY-FTUN-1495-S17-03V/02V/24V/23V,FTUN 1495 S08-SW1 CP,GAS,49037211S
FT UNION LOWER,WY-FTUN-1495-S08-23V,FTUN 1495 S08-23V,GAS,49037212S
FT UNION LOWER,WY-FTUN-1495-S08-24V,FTUN 1495 S08-24V,GAS,49037213S
FT UNION LOWER,WY-FTUN-1495-S17-02V,FTUN 1495 S17-02V,GAS,49037214S
FT UNION LOWER,WY-FTUN-1495-S17-03V,FTUN 1495 S17-03V,GAS,49037215E
FT UNION LOWER,WY-PB-2,POLAR BAR 2,GAS,49037216E
FT UNION LOWER,WY-PMU-34-26X,POWDER MOUNTAIN UNIT 34-26X,GAS,49037217E
FT UNION LOWER,WY-EU-23-5,ENDURANCE UNIT 23-5,GAS,49037219E
FT UNION LOWER,WY-CF-23-7,CEPO FEDERAL 23-7,GAS,91591338
FT UNION LOWER,WY-CF-3-19ST,CEPO FEDERAL 3-19ST,GAS,91591349
FT UNION LOWER,WY-BU-33-12,BARRICADE UNIT 33-12,GAS,91591379
FT UNION LOWER,WY-EU-23-5,ENDURANCE UNIT 23-5,GAS,91591385
FT UNION LOWER,WY-B-24-36-1LH/2MH,BARRICADE 24-36 CP,GAS,91591389
FT UNION LOWER,WY-B-11-7,BARRICADE 11-7,GAS,91591390
FT UNION LOWER,W-B-41-01,BARRICADE 41-01,GAS,91591395
FT UNION LOWER,WY-BU-14-01H/V,BARRICADE UNIT 14-01 CP,GAS,91591397
FT UNION LOWER,WY-B-21-11N1MH,BARRICADE 21-11N1MH,GAS,91591400
FT UNION LOWER,W-B-34-24,BARRICADE 34-24V,GAS,91591401
FT UNION LOWER,WY-E-42-10I,ENDURANCE 42-10 INJ INFO ONLY,GAS,91591402
FT UNION LOWER,WY-B-22-06-4H/5H,BARRICADE 22-06 CP,GAS,91591408
FT UNION LOWER,WY-EU-23-5,ENDURANCE UNIT 23-5,GAS,FLARED
FT UNION LOWER,WY-PMU-PB-16V-5V,PM-PB-05V-16V CP,GAS,PM-PB-05V-16V SALES
FT UNION LOWER,WY-EU-23-5,ENDURANCE UNIT 23-5,GAS,VENT
