name,user_ref,Site_Name,Product_Name,MeterId
FT UNION UPPER,WY092,NORTH WEDGE 1-16,GAS,17714
FT UNION UPPER,WY092,NORTH WEDGE 1-16,GAS,17714C
FT UNION UPPER,WY-B-1595-S31-16V/11V,BARRICADE 1595-S31 CP,GAS,49037097E
FT UNION UPPER,WY-B-1595-S31-11V,BARRICADE 1595-S31-11V,GAS,49037103E
FT UNION UPPER,WY-B-1595-S31-16V,BARRICADE 1595-S31-16V,GAS,49037106E
FT UNION UPPER,WY-B-23-31-2H/3H,BARRICADE 23-31 CP,GAS,49037118E
FT UNION UPPER,WY-B-23-31-2H,BARRICADE 23-31-2H,GAS,49037119E
FT UNION UPPER,WY-B-23-31-3H,BARRICADE 23-31-3H,GAS,49037121E
FT UNION UPPER,WY-B-41-6S1LH,BARRICADE 41-6S1LH,GAS,49037128E
FT UNION UPPER,WY-B-41-6S1MH,BARRICADE 41-6S1MH,GAS,49037132E
FT UNION UPPER,W-B-32NE-6D,BARRICADE 32NE-6D,GAS,49037133E
FT UNION UPPER,WY-B-41SW-6D,BARRICADE 41SW-6D,GAS,49037143E
FT UNION UPPER,WY-B-41-6 LH/MH/SW/32NE,BARRICADE 41-6 5 CP,GAS,49037145E
FT UNION UPPER,WY-BU-44-1,BARRICADE UNIT 44-1 SWD INFO ONLY,GAS,49037149E
FT UNION UPPER,WY-E-11-21-1V,ENDURANCE 11-21-1V,GAS,49037167E:49037170E0
FT UNION UPPER,WY-E-1595-S29-18V,ENDURANCE 1595 S29-18V,GAS,49037174E:49037173E
FT UNION UPPER,WY-E-1595-S29-29V,ENDURANCE 1595 S29-29V,GAS,49037178E:49037190E
FT UNION UPPER,WY-E-1595-S32-13V,ENDURANCE 1595 S32-13V,GAS,49037179E:49037181E
FT UNION UPPER,WY-E-1595-S32-19V,ENDURANCE 1595 S32-19V,GAS,49037179E:49037184E
FT UNION UPPER,WY-E-1595-S32-21V,ENDURANCE 1595 S32-21V,GAS,49037179E:49037185E
FT UNION UPPER,WY-E-1595-S32-25V,ENDURANCE 1595 S32-25V,GAS,49037180E
FT UNION UPPER,WY-E-1595-S32-26V,ENDURANCE 1595 S32-26V,GAS,49037182E
FT UNION UPPER,WY-E-41-29S1LH/1MH/UH,ENDURANCE 41-29S1 CP,GAS,49037187E
FT UNION UPPER,WY-E-41-29S1LH/1MH/UH,ENDURANCE 41-29S1 CP,GAS,49037191E
FT UNION UPPER,WY-E-41-29S1LH/1MH/UH,ENDURANCE 41-29S1 CP,GAS,49037192E
FT UNION UPPER,WY-E-41-29S1LH/1MH/UH,ENDURANCE 41-29S1 CP,GAS,49037193E
FT UNION UPPER,WY-E-41-29S1LH,ENDURANCE 41-29S1LH,GAS,49037194E
FT UNION UPPER,WY-E-41-29S1MH,ENDURANCE 41-29S1MH,GAS,49037195E
FT UNION UPPER,WY-E-41-29S1UH,ENDURANCE 41-29S1UH,GAS,49037196E
FT UNION UPPER,WY-E-1595-S32/S29,ENDURANCE 1595-S32-29S NW1 CP,GAS,49037198E
FT UNION UPPER,WY-E-1595-S32/S29,ENDURANCE 1595-S32-29S NW1 CP,GAS,49037199S
FT UNION UPPER,WY-E-1595-S32/S29,ENDURANCE 1595-S32-29S NW1 CP,GAS,49037200S
FT UNION UPPER,WY-E-1595-S32/S29,ENDURANCE 1595-S32-29S NW1 CP,GAS,49037201S
FT UNION UPPER,WY-E-44-32,ENDURANCE 44-32,GAS,49037203S
FT UNION UPPER,WY-E-21-32,ENDURANCE 21-32,GAS,49037204S
FT UNION UPPER,WY-EU-44-29,ENDURANCE UNIT 44-29,GAS,49037206E
FT UNION UPPER,WY-WSU-33-32,WEST SLOPE UNIT 33-32,GAS,49037218E
FT UNION UPPER,WY-WD-4,WINDMILL DRAW 4,GAS,91519103
FT UNION UPPER,WY-WD-1,WINDMILL DRAW 1,GAS,9159135
FT UNION UPPER,WY-WD-3,WINDMILL DRAW 3,GAS,91591353
FT UNION UPPER,W-EU-42-5,ENDURANCE UNIT 42-5,GAS,91591392
FT UNION UPPER,WY-WSU-33-32/44-32,ENDURANCE/WEST SLOPE 32 CP,GAS,91591393
FT UNION UPPER,WY-EU-44-29,ENDURANCE UNIT 44-29,GAS,91591396
FT UNION UPPER,WY-B-23-31-2H/3H,BARRICADE 23-31 CP,GAS,9159140
FT UNION UPPER,WY-B-41-6 LH/MH/SW/32NE,BARRICADE 41-6 5 CP,GAS,91591402
FT UNION UPPER,WY-E-41-29S1LH/1MH/UH,ENDURANCE 41-29S1 CP,GAS,91591403
FT UNION UPPER,WY-E-11-21-1V,ENDURANCE 11-21-1V,GAS,91591405
FT UNION UPPER,WY-E-42-30-1V,ENDURANCE 42-30-1V,GAS,91591406
FT UNION UPPER,WY-B-1595-S31-16V/11V,BARRICADE 1595-S31 CP,GAS,91591409
FT UNION UPPER,WY-E-1595-S32/S29,ENDURANCE 1595-S32-29S NW1 CP,GAS,91591410
FT UNION UPPER,WY-BU-44-1,BARRICADE UNIT 44-1 SWD INFO ONLY,GAS,ANADARKO
