Date,Route,Type,MeterID,Well,SCADA Volumes,PRAMS Production,PRAMS Sales
2/1/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1356.079,1369.66,0.0
2/2/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1359.109,1356.08,0.0
2/3/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1364.3039999999999,1359.11,0.0
2/4/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1323.162,1364.3,0.0
2/5/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1368.755,1323.16,0.0
2/6/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1347.381,1368.76,0.0
2/7/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1358.479,1347.38,0.0
2/8/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1366.3929999999998,1358.48,0.0
2/9/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1259.9389999999999,1366.39,0.0
2/10/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1194.566,1259.94,0.0
2/11/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1343.765,1194.57,0.0
2/12/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1238.396,1343.77,0.0
2/13/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1307.683,1238.4,0.0
2/14/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1277.483,1307.68,0.0
2/15/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,976.8846,1277.48,0.0
2/16/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,328.8091,976.88,0.0
2/17/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,0.0,328.81,0.0
2/18/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,622.6697,0.0,0.0
2/19/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1547.1229999999998,622.67,0.0
2/20/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1505.1789999999999,1547.12,0.0
2/21/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1428.69,1505.18,0.0
2/22/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1421.8770000000002,1428.69,0.0
2/23/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1379.299,1421.88,0.0
2/24/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1194.7910000000002,1379.3,0.0
2/25/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1297.907,1194.79,0.0
2/26/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1322.664,1297.91,0.0
2/27/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1240.892,1322.66,0.0
2/28/2021,FT UNION UPPER,GAS,49037097E,BARRICADE 1595-S31 CP,1228.483,1240.89,0.0
2/1/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,461.7697,460.76,0.0
2/2/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,464.6587,461.77,0.0
2/3/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,466.12199999999996,464.66,0.0
2/4/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,458.0866,466.12,0.0
2/5/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,466.9194,458.09,0.0
2/6/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,467.7712,466.92,0.0
2/7/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,456.5532,467.77,0.0
2/8/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,467.1215,456.55,0.0
2/9/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,466.9283,467.12,0.0
2/10/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,457.3964,466.93,0.0
2/11/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,465.7368,457.4,0.0
2/12/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,458.4259,465.74,0.0
2/13/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,466.5555,458.43,0.0
2/14/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,450.3694,466.56,0.0
2/15/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,416.5006,450.37,0.0
2/16/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,469.1814,416.5,0.0
2/17/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,458.8916,469.18,0.0
2/18/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,451.5999,458.89,0.0
2/19/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,465.0282,451.6,0.0
2/20/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,464.6592,465.03,0.0
2/21/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,462.3295,464.66,0.0
2/22/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,465.3058,462.33,0.0
2/23/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,463.9416,465.31,0.0
2/24/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,458.108,463.94,0.0
2/25/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,460.4691,458.11,0.0
2/26/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,460.3899,460.47,0.0
2/27/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,452.9859,460.39,0.0
2/28/2021,FT UNION UPPER,GAS,49037103E,BARRICADE 1595-S31-11V,453.5133,452.99,0.0
2/1/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,954.7502,968.54,0.0
2/2/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,954.2952,954.75,0.0
2/3/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,954.8303,954.3,0.0
2/4/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,927.4978,954.83,0.0
2/5/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,968.811,927.5,0.0
2/6/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,945.8714,968.81,0.0
2/7/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,964.3615,945.87,0.0
2/8/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,959.6284,964.36,0.0
2/9/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,865.8665,959.63,0.0
2/10/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,805.2685,865.87,0.0
2/11/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,937.3475,805.27,0.0
2/12/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,846.6726,937.35,0.0
2/13/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,909.4795,846.67,0.0
2/14/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,919.7153,909.48,0.0
2/15/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,747.9415,919.72,0.0
2/16/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,428.6111,747.94,0.0
2/17/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,343.4255,428.61,0.0
2/18/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,597.4943,343.43,0.0
2/19/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,1152.629,597.49,0.0
2/20/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,1105.9660000000001,1152.63,0.0
2/21/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,1033.192,1105.97,0.0
2/22/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,1030.797,1033.19,0.0
2/23/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,985.2078,1030.8,0.0
2/24/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,825.0482,985.21,0.0
2/25/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,916.2838,825.05,0.0
2/26/2021,FT UNION UPPER,GAS,49037106E,BARRICADE 1595-S31-16V,933.4363,916.28,0.0
